"CREATURES";;;;;")";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78
"Nom";"Malun";"Femun";"Toby";"Waza";"Alice";"Ralph";"Nova";"Bibi";"Bimbo";"Eva";"Virga";"Loana";"Laure";"Bobby";"Mike";"Steph";"Lara";"Angela";"Sarah";"Marcus";"Buffy";"Angel";"Paula";"Peter";"Valentine";"Ender";"Petra";"Tuck";"Kenza";"Jason";"Lou";"Sean";"Colin";"Dave";"Ben";"Clara";"Steevy";"Diana";"Nana";"Fucky";"Alima";"Danny";"Cola";"Coca";"Monica";"Pepsi";"Mail";"Wanda";"Ganja";"Quint";"Joker";"Ken";"Blanka";"Banga";"Bahun";"Kah";"Kahde";"Bastet";"Isis";"Osiris";"Sekhmet";"Horus";"Shit";"Anubis";"Nout";"Theti";"Cleopatra";"God";"Amon";"Nefer";"Nefari";"Nefertiti";"Seth";"Apopis";"Min";"Mina";"<sansnom>";"Chia"
"sexe";1;2;1;1;2;1;2;1;1;2;2;2;2;1;1;1;2;2;2;1;2;1;2;1;2;1;2;1;2;1;2;1;1;1;1;2;1;2;2;2;2;1;2;2;2;1;1;2;2;1;1;1;2;2;1;1;1;2;2;1;2;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;2;2
"génération";1;1;2;2;2;2;2;3;3;1;3;4;3;3;4;4;4;5;4;4;5;4;4;5;6;5;5;6;7;6;6;6;8;7;8;7;7;8;7;8;9;8;9;9;9;8;10;9;10;10;9;10;11;10;11;10;11;11;12;12;12;13;12;13;14;13;15;1;15;16;14;16;14;16;15;17;15;16
"code";1180;1581;1378;1455;1260;1170;1226;1138;1463;1574;1183;1146;1408;1241;1138;1066;1733;1481;1262;1428;1104;1340;1309;1333;1183;1358;1428;1146;1333;1451;1346;1340;1333;1259;1451;1358;1121;1308;1340;1333;1308;1366;1121;1424;1308;1246;1359;1308;1377;1404;1320;1308;1359;1204;1323;1359;1377;1359;1311;1173;1308;1173;1415;1214;1424;1111;1224;1628;1424;1173;1346;1295;1288;1373;1378;1617;"-";1224
"ID";"6BAD";"7RMN";"4BLS";"7ESX";"0QTF";"8PLA";"5PWJ";"1IET";"2TTE";"7WKO";"4XTO";"8BJX";"1SAB";"8EKC";"5XTQ";"0DNX";"2LFG";"5HHO";"4WJI";"7TOB";"4CSK";"5EXE";"6DJE";"5FZM";"4XLH";"8CEB";"5XDT";"0WKW";"0EKI";"6OAT";"6AFR";"6XSB";"0GSH";"1HIZ";"4KGT";"6DCY";"8ARU";"9PST";"1TVM";"0SFQ";"1ATH";"8DSH";"9BKB";"5QIZ";"5XCE";"1KLA";"8PTH";"3FHJ";"0CFZ";"9HYB";"0UBY";"6YOL";"1LYO";"3QBR";"3AQO";"3LLO";"0QIU";"6MDX";"9OIZ";"5ANG";"8GKF";"6NGJ";"7TFO";"2XFP";"5LEN";"5HSF";"6MFQ";"5RCQ";"0AWL";"9LMK";"2KGG";"6ZJE";"1SHD";"6YJC";"9CWE";"8HRY";"5CBL";"0CMG"
"nb gènes";264;267;264;264;267;264;267;264;264;267;267;267;267;264;264;264;267;267;267;264;267;264;267;264;267;264;267;264;267;264;267;264;264;264;264;267;265;267;267;267;267;264;267;267;268;264;264;267;267;264;264;264;267;267;264;265;264;267;267;264;267;264;264;264;267;267;267;264;263;267;267;267;264;263;264;267;267;267
"Nucléotides";2112;2136;2112;2112;2136;2112;2136;2112;2112;2136;2136;2136;2136;2112;2112;2112;2136;2136;2136;2112;2136;2112;2136;2112;2136;2112;2136;2112;2136;2112;2136;2112;2112;2112;2112;2136;2120;2136;2136;2136;2136;2112;2136;2136;2144;2112;2112;2136;2136;2112;2112;2112;2136;2136;2112;2120;2112;2136;2136;2112;2136;2112;2112;2112;2136;2136;2136;2112;2104;2136;2136;2136;2112;2104;2112;2136;2136;2136
"N/G";8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
"Recepteurs CH";40;42;40;40;42;40;42;40;40;42;42;42;42;40;40;40;42;42;42;40;42;40;42;40;42;40;42;40;42;40;42;40;40;40;40;42;40;42;42;42;42;40;42;42;42;40;40;42;42;40;40;40;42;42;40;40;40;42;42;40;42;40;40;40;42;42;42;40;40;42;42;42;40;40;40;42;42;42
;320;336;320;320;336;320;336;320;320;336;336;336;336;320;320;320;336;336;336;320;336;320;336;320;336;320;336;320;336;320;336;320;320;320;320;336;320;336;336;336;336;320;336;336;336;320;320;336;336;320;320;320;336;336;320;320;320;336;336;320;336;320;320;320;336;336;336;320;320;336;336;336;320;320;320;336;336;336
"Emetteurs CH";22;24;22;22;24;22;24;22;22;24;24;24;24;22;22;22;24;24;24;22;24;22;24;22;24;22;24;22;24;22;24;22;22;22;22;24;23;24;24;24;24;22;24;24;24;22;22;24;24;22;22;22;24;24;22;22;22;24;24;22;24;22;22;22;24;24;24;22;21;24;24;24;22;21;22;24;24;24
;176;192;176;176;192;176;192;176;176;192;192;192;192;176;176;176;192;192;192;176;192;176;192;176;192;176;192;176;192;176;192;176;176;176;176;192;184;192;192;192;192;176;192;192;192;176;176;192;192;176;176;176;192;192;176;176;176;192;192;176;192;176;176;176;192;192;192;176;168;192;192;192;176;168;176;192;192;192
"Reactions CH";55;56;55;55;56;55;56;55;55;56;56;56;56;55;55;55;56;56;56;55;56;55;56;55;56;55;56;55;56;55;56;55;55;55;55;56;55;56;56;56;56;55;56;56;57;55;55;56;56;55;55;55;56;56;55;56;55;56;56;55;56;55;55;55;56;56;56;55;55;56;56;56;55;55;55;56;56;56
;440;448;440;440;448;440;448;440;440;448;448;448;448;440;440;440;448;448;448;440;448;440;448;440;448;440;448;440;448;440;448;440;440;440;440;448;440;448;448;448;448;440;448;448;456;440;440;448;448;440;440;440;448;448;440;448;440;448;448;440;448;440;440;440;448;448;448;440;440;448;448;448;440;440;440;448;448;448
"Apparence";4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32
"Posture";104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104
;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832;832
"Démarche";8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64;64
"Instincts";19;17;19;19;17;19;17;19;19;17;17;17;17;19;19;19;17;17;17;19;17;19;17;19;17;19;17;19;17;19;17;19;19;19;19;17;19;17;17;17;17;19;17;17;17;19;19;17;17;19;19;19;17;17;19;19;19;17;17;19;17;19;19;19;17;17;17;19;19;17;17;17;19;19;19;17;17;17
;152;136;152;152;136;152;136;152;152;136;136;136;136;152;152;152;136;136;136;152;136;152;136;152;136;152;136;152;136;152;136;152;152;152;152;136;152;136;136;136;136;152;136;136;136;152;152;136;136;152;152;152;136;136;152;152;152;136;136;152;136;152;152;152;136;136;136;152;152;136;136;136;152;152;152;136;136;136
"Pigments";12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96;96
"Lobes";9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954;954
"Yeux";1;0;1;0;2;0;2;1;0;1;2;0;1;0;1;0;1;0;0;0;2;2;0;0;0;1;0;0;0;0;2;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;"?";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;2;0;0
"Cheveux";1;2;1;0;1;0;1;1;0;0;1;2;2;2;1;2;0;1;1;2;1;2;1;2;1;1;1;2;1;2;1;2;1;1;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;1;1;2;2
"Oreilles";0;1;0;1;2;1;2;0;1;0;2;1;0;1;0;1;0;1;1;1;2;0;1;1;1;0;1;1;1;1;2;1;1;0;1;2;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;2;1;1;0;2;1;1
"Postérieur";1;0;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;1;0;1;0;0;0;0;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;-1;1;1;-1;-1;-1;1;-1;-1;-1;1
"Bras";1;0;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Queue";1;0;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0;0;1;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Parents";"/";"/";"7MRN/6BAD";"7MRN/6BAD";"7MRN/6BAD";"7MRN/6BAD";"7MRN/6BAD";"0QTF/6BAD";"7MRN/4BLS";"/";"0QTF/4BLS";"4XTO/2TTE";"7WKO/8PLA";"7WKO/8PLA";"4XTO/1IET";"1SAB/8PLA";"7WKO/2TTE";"8BJX/2TTE";"1SAB/2TTE";"7WKO/2TTE";"8BJX/5XTQ";"1SAB/8EKC";"1SAB/8EKC";"8BJX/8EKC";"5HHO/ODNX";"2LFG/5XTQ";"4WJI/7TOB";"5HHO/5XTQ";"4XLH/5FZM";"6DJE/5FZM";"5XDT/8CEB";"4WJI/5FZM";"0EKI/5FZM";"4XLH/8CEB";"OEKI/6OAT";"6AFR/8CEB";"4XLH/0WKW";"0EKI/1HIZ";"5XDT/6XSB";"0EKI/1HIZ";"9PST/0GSH";"6DCY/1HIZ";"9PST/8ARU";"6DCY/0GSH";"9PST/4KGT";"6DCY/8ARU";"1ATH/8DSH";"9PST/4KGT";"1ATH/8DSH";"5QIZ/1KLA";"1TVM/8DSH";"5XCE/1KLA";"5QIZ/8PTH";"5QIZ/1KLA";"0CFZ/0UBY";"5XCE/0UBY";"0CFZ/6YOL";"3FHJ/8PTH";"3QBR/0QIU";"3QBR/3AQO";"6MDX/6YOL";"9OIZ/5ANG";"3QBR/0QIU";"9OIZ/5ANG";"6MDX/6NGJ";"9OIZ/5ANG";"5LEN/6NGJ";"/";"5LEN/6NGJ";"6MFQ/6NGJ";"5HSF/5RCQ";"6MFQ/5RCQ";"5HSF/5RCQ";"5HSF/0AWL";"2KGG/5RCQ";"9LMK/5RCQ";"2KGG/1SHD";"9LMK/0AWL"
"Naiss";0:05:00;0:08:00;2:05:00;2:48:00;3:34:00;4:18:00;5:12:00;5:37:00;6:12:00;6:13:00;6:48:00;8:00:00;8:11:00;8:42:00;8:45:00;9:06:00;9:09:00;9:33:00;9:33:00;9:56:00;10:19:00;10:24:00;10:43:00;11:14:00;11:38:00;11:38:00;12:23:00;13:14:00;13:21:00;14:24:00;14:24:00;15:30:00;15:37:00;15:42:00;16:27:00;16:27:00;16:52:00;17:07:00;17:35:00;17:36:00;18:26:00;18:37:00;18:58:00;19:08:00;19:44:00;19:57:00;20:16:00;20:16:00;20:36:00;21:03:00;21:11:00;21:27:00;22:14:00;22:34:00;22:46:00;23:19:00;23:29:00;23:59:00;24:34:00;25:19:00;25:33:00;26:27:00;26:30:00;27:15:00;27:42:00;28:01:00;29:07:00;29:40:00;30:16:00;31:06:00;31:18:00;31:33:00;31:44:00;31:19:00;32:47:00;32:58:00;33:33:00;33:37:00
"Mort";6:10:00;6:10:00;7:38:00;9:01:00;6:53:00;9:07:00;8:08:00;9:11:00;10:18:00;10:17:00;8:46:00;11:09:00;11:16:00;11:08:00;12:17:00;12:56:00;12:55:00;14:02:00;14:03:00;15:07:00;15:17:00;15:17:00;16:21:00;16:22:00;16:47:00;16:47:00;17:28:00;18:28:00;18:05:00;18:30:00;18:30:00;19:01:00;19:13:00;19:13:00;20:10:00;20:10:00;20:10:00;20:10:00;21:10:00;21:10:00;21:10:00;21:58:00;21:36:00;22:53:00;23:25:00;23:27:00;24:19:00;24:19:00;23:35:00;25:12:00;25:14:00;25:57:00;26:16:00;26:49:00;26:50:00;23:20:00;26:49:00;28:01:00;28:34:00;29:16:00;29:35:00;31:28:00;29:31:00;29:31:00;31:30:00;32:31:00;31:34:00;35:00:00;35:00:00;35:00:00;35:00:00;35:00:00;35:00:00;35:00:00;35:00:00;35:00:00;33:33:00;35:00:00
